unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1628380800000,2021-08-08 00:00:00,BTT/USDT,0.00390320,0.00408860,0.00364090,0.00372290,22726055889.00000000,87292749.76118800,228963
1628294400000,2021-08-07 00:00:00,BTT/USDT,0.00382740,0.00408490,0.00367960,0.00390320,22484462429.00000000,88189501.33109960,262124
1628208000000,2021-08-06 00:00:00,BTT/USDT,0.00343680,0.00385000,0.00343420,0.00382810,20363082069.00000000,74023354.08619350,218710
1628121600000,2021-08-05 00:00:00,BTT/USDT,0.00317650,0.00355000,0.00315000,0.00343490,26263072177.00000000,89143155.82082590,276033
1628035200000,2021-08-04 00:00:00,BTT/USDT,0.00292390,0.00321000,0.00288160,0.00317650,16995595102.00000000,52340157.80809740,153802
1627948800000,2021-08-03 00:00:00,BTT/USDT,0.00288550,0.00297570,0.00279070,0.00292290,8077479557.00000000,23285277.23136170,69069
1627862400000,2021-08-02 00:00:00,BTT/USDT,0.00284880,0.00293930,0.00278000,0.00288600,6497916144.00000000,18726822.79501730,59168
1627776000000,2021-08-01 00:00:00,BTT/USDT,0.00284300,0.00308110,0.00282180,0.00284910,14575396916.00000000,43324708.09476960,140493
1627689600000,2021-07-31 00:00:00,BTT/USDT,0.00286830,0.00290830,0.00278460,0.00284560,7092519488.00000000,20123382.53672690,65546
1627603200000,2021-07-30 00:00:00,BTT/USDT,0.00281640,0.00287900,0.00264180,0.00287050,8723693275.00000000,24026239.09839820,77697
1627516800000,2021-07-29 00:00:00,BTT/USDT,0.00279950,0.00288200,0.00273430,0.00281640,7316988880.00000000,20389548.72436590,61368
1627430400000,2021-07-28 00:00:00,BTT/USDT,0.00279380,0.00303500,0.00273230,0.00279740,19119014534.00000000,54658083.69006310,151509
1627344000000,2021-07-27 00:00:00,BTT/USDT,0.00258170,0.00292900,0.00243420,0.00279410,26080603141.00000000,69503717.27649520,182641
1627257600000,2021-07-26 00:00:00,BTT/USDT,0.00229290,0.00304450,0.00228480,0.00258170,45531077803.00000000,126706393.92705650,404366
1627171200000,2021-07-25 00:00:00,BTT/USDT,0.00224640,0.00231930,0.00218870,0.00229210,7160982558.00000000,16143725.90940810,50042
1627084800000,2021-07-24 00:00:00,BTT/USDT,0.00220480,0.00230270,0.00217910,0.00224710,6660602752.00000000,14896017.81546990,52211
1626998400000,2021-07-23 00:00:00,BTT/USDT,0.00216250,0.00221240,0.00208800,0.00220670,6146675437.00000000,13219048.82570410,47182
