unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1650412800000,2022-04-20 00:00:00,LINK/USDT,14.24000000,14.50000000,13.70000000,14.02000000,3259324.92000000,46019392.94160000,72538
1650326400000,2022-04-19 00:00:00,LINK/USDT,14.06000000,14.42000000,13.83000000,14.24000000,2269575.91000000,32027601.80260000,52555
1650240000000,2022-04-18 00:00:00,LINK/USDT,13.72000000,14.06000000,13.14000000,14.06000000,3940066.58000000,53176002.99990000,81882
1650153600000,2022-04-17 00:00:00,LINK/USDT,14.14000000,14.62000000,13.65000000,13.73000000,2635685.70000000,37678856.69330000,68259
1650067200000,2022-04-16 00:00:00,LINK/USDT,14.11000000,14.28000000,13.83000000,14.14000000,1517456.04000000,21326680.41480000,33687
1649980800000,2022-04-15 00:00:00,LINK/USDT,13.64000000,14.19000000,13.63000000,14.11000000,1819449.78000000,25350090.73860000,43330
1649894400000,2022-04-14 00:00:00,LINK/USDT,14.20000000,14.33000000,13.33000000,13.65000000,2905294.96000000,40058996.19950000,64246
1649808000000,2022-04-13 00:00:00,LINK/USDT,13.98000000,14.22000000,13.68000000,14.19000000,2228609.09000000,31209233.10080000,56309
1649721600000,2022-04-12 00:00:00,LINK/USDT,13.76000000,14.33000000,13.63000000,13.98000000,2649528.63000000,36982702.94260000,66505
1649635200000,2022-04-11 00:00:00,LINK/USDT,15.23000000,15.28000000,13.51000000,13.76000000,3982122.72000000,56867147.90700000,98702
1649548800000,2022-04-10 00:00:00,LINK/USDT,15.43000000,15.93000000,15.17000000,15.24000000,1611326.85000000,25031136.94720000,46788
1649462400000,2022-04-09 00:00:00,LINK/USDT,15.12000000,15.47000000,15.12000000,15.43000000,1366727.90000000,20934233.22040000,34800
1649376000000,2022-04-08 00:00:00,LINK/USDT,15.74000000,15.91000000,15.01000000,15.13000000,2321153.06000000,36076432.84600000,63734
1649289600000,2022-04-07 00:00:00,LINK/USDT,15.41000000,15.88000000,15.10000000,15.75000000,2867861.76000000,44539243.12360000,81407
1649203200000,2022-04-06 00:00:00,LINK/USDT,16.75000000,16.79000000,15.27000000,15.41000000,4629748.58000000,73962946.51280000,145790
1649116800000,2022-04-05 00:00:00,LINK/USDT,17.51000000,17.66000000,16.66000000,16.74000000,2337093.84000000,40235806.37990000,82105
1649030400000,2022-04-04 00:00:00,LINK/USDT,18.07000000,18.08000000,16.82000000,17.50000000,3811139.33000000,66498861.62620000,131638
1648944000000,2022-04-03 00:00:00,LINK/USDT,17.40000000,18.32000000,17.15000000,18.08000000,3430897.49000000,61222535.49090000,137165
1648857600000,2022-04-02 00:00:00,LINK/USDT,17.34000000,17.87000000,17.10000000,17.40000000,3634084.25000000,63498083.49550000,127433
1648771200000,2022-04-01 00:00:00,LINK/USDT,16.91000000,17.37000000,16.16000000,17.34000000,4521915.84000000,76273213.68860000,124231
1648684800000,2022-03-31 00:00:00,LINK/USDT,17.21000000,18.05000000,16.64000000,16.91000000,5770687.14000000,99995868.48720000,182635
1648598400000,2022-03-30 00:00:00,LINK/USDT,16.98000000,17.58000000,16.53000000,17.22000000,4866676.40000000,83570486.83550000,157683
1648512000000,2022-03-29 00:00:00,LINK/USDT,16.50000000,17.52000000,16.47000000,16.98000000,4496577.65000000,76536909.50200000,141595
1648425600000,2022-03-28 00:00:00,LINK/USDT,16.86000000,17.37000000,16.34000000,16.50000000,5918598.60000000,100611693.97600000,179705
1648339200000,2022-03-27 00:00:00,LINK/USDT,15.83000000,16.91000000,15.63000000,16.87000000,3937478.83000000,63833184.41720000,127580
1648252800000,2022-03-26 00:00:00,LINK/USDT,15.60000000,15.96000000,15.49000000,15.83000000,2425031.02000000,38109551.57040000,57852
1648166400000,2022-03-25 00:00:00,LINK/USDT,16.16000000,16.46000000,15.47000000,15.59000000,4654254.07000000,74390545.18100000,137398
1648080000000,2022-03-24 00:00:00,LINK/USDT,15.84000000,16.44000000,15.60000000,16.17000000,5204988.98000000,83473816.33950000,146937
1647993600000,2022-03-23 00:00:00,LINK/USDT,15.43000000,15.98000000,15.13000000,15.83000000,3827078.04000000,59400737.81820000,105492
1647907200000,2022-03-22 00:00:00,LINK/USDT,14.99000000,15.86000000,14.98000000,15.43000000,4500280.54000000,69966605.04530000,122289
1647820800000,2022-03-21 00:00:00,LINK/USDT,14.54000000,15.28000000,14.30000000,15.00000000,3719572.96000000,55353265.10450000,98338
1647734400000,2022-03-20 00:00:00,LINK/USDT,15.01000000,15.13000000,14.42000000,14.54000000,2883923.42000000,42574847.05820000,72883
1647648000000,2022-03-19 00:00:00,LINK/USDT,15.00000000,15.40000000,14.83000000,15.01000000,3285256.26000000,49510365.28540000,92700
1647561600000,2022-03-18 00:00:00,LINK/USDT,14.41000000,15.27000000,14.12000000,15.01000000,4421110.43000000,65203270.61020000,113682
1647475200000,2022-03-17 00:00:00,LINK/USDT,14.66000000,14.93000000,14.23000000,14.40000000,4152174.08000000,60628137.16810000,91907
1647388800000,2022-03-16 00:00:00,LINK/USDT,13.69000000,14.78000000,13.66000000,14.66000000,6546791.14000000,92216913.77640000,165697
1647302400000,2022-03-15 00:00:00,LINK/USDT,13.41000000,13.80000000,12.87000000,13.69000000,3454099.55000000,46015312.12890000,95115
1647216000000,2022-03-14 00:00:00,LINK/USDT,12.71000000,13.44000000,12.60000000,13.41000000,4643719.70000000,60609653.09430000,86786
1647129600000,2022-03-13 00:00:00,LINK/USDT,13.15000000,13.43000000,12.59000000,12.70000000,2732503.80000000,35795294.92240000,56917
1647043200000,2022-03-12 00:00:00,LINK/USDT,13.04000000,13.46000000,13.02000000,13.15000000,2499460.74000000,33179306.40540000,54939
1646956800000,2022-03-11 00:00:00,LINK/USDT,13.18000000,13.65000000,12.80000000,13.05000000,4657580.01000000,61442961.87070000,91763
1646870400000,2022-03-10 00:00:00,LINK/USDT,14.00000000,14.11000000,12.96000000,13.17000000,5468107.10000000,72937387.92030000,111958
