unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1644624000000,2022-02-12 00:00:00,BNB/USDT,400.00000000,407.10000000,393.30000000,403.60000000,521080.23700000,208673604.96110000,338979
1644537600000,2022-02-11 00:00:00,BNB/USDT,414.70000000,418.90000000,390.50000000,400.00000000,700843.20000000,286858834.36410000,438186
1644451200000,2022-02-10 00:00:00,BNB/USDT,422.90000000,434.90000000,410.00000000,414.70000000,956240.33900000,403767915.00880000,518995
1644364800000,2022-02-09 00:00:00,BNB/USDT,407.90000000,427.70000000,407.10000000,422.90000000,633880.43100000,265055577.19780000,390401
1644278400000,2022-02-08 00:00:00,BNB/USDT,433.50000000,445.40000000,406.20000000,407.80000000,1148555.32100000,484080748.79260000,608313
1644192000000,2022-02-07 00:00:00,BNB/USDT,419.90000000,439.00000000,413.30000000,433.50000000,758247.66700000,326074842.59380000,475365
1644105600000,2022-02-06 00:00:00,BNB/USDT,413.80000000,422.50000000,407.00000000,419.90000000,542631.17600000,225211627.85650000,345411
1644019200000,2022-02-05 00:00:00,BNB/USDT,399.60000000,431.00000000,396.30000000,413.70000000,1031046.87000000,429828793.04900000,526783
1643932800000,2022-02-04 00:00:00,BNB/USDT,372.20000000,399.70000000,369.50000000,399.50000000,849825.82800000,326468411.35540000,412637
1643846400000,2022-02-03 00:00:00,BNB/USDT,367.10000000,372.40000000,359.60000000,372.30000000,495715.22700000,181299666.30640000,300375
1643760000000,2022-02-02 00:00:00,BNB/USDT,384.10000000,386.10000000,366.10000000,366.90000000,572340.04000000,215596317.44310000,346326
1643673600000,2022-02-01 00:00:00,BNB/USDT,374.40000000,388.40000000,373.70000000,384.20000000,555347.27700000,212697945.11070000,333563
1643587200000,2022-01-31 00:00:00,BNB/USDT,377.20000000,385.40000000,365.20000000,374.30000000,620113.73400000,232898450.64790000,360853
1643500800000,2022-01-30 00:00:00,BNB/USDT,389.40000000,389.60000000,372.20000000,377.20000000,536436.12300000,204652766.32720000,322360
1643414400000,2022-01-29 00:00:00,BNB/USDT,385.90000000,397.30000000,380.70000000,389.30000000,534573.78200000,207593040.22790000,342125
1643328000000,2022-01-28 00:00:00,BNB/USDT,389.90000000,395.90000000,375.80000000,385.90000000,752320.61500000,290426869.61740000,439977
1643241600000,2022-01-27 00:00:00,BNB/USDT,375.10000000,393.80000000,360.00000000,389.90000000,962060.88800000,358493434.85040000,530658
