unix,date,symbol,open,high,low,close,Volume TUSD,Volume USDT,tradecount
1646352000000,2022-03-04 00:00:00,TUSD/USDT,1.00000000,1.00010000,0.99980000,0.99980000,32444088.00000000,32441187.34650000,41463
1646265600000,2022-03-03 00:00:00,TUSD/USDT,0.99970000,1.00010000,0.99960000,1.00000000,17781112.00000000,17777192.77740000,20229
1646179200000,2022-03-02 00:00:00,TUSD/USDT,0.99960000,0.99970000,0.99950000,0.99960000,20611908.00000000,20604254.91360000,27186
1646092800000,2022-03-01 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99950000,0.99960000,46517121.00000000,46501201.35360000,58435
1646006400000,2022-02-28 00:00:00,TUSD/USDT,0.99960000,0.99970000,0.99960000,0.99970000,25590826.00000000,25581689.26500000,32025
1645920000000,2022-02-27 00:00:00,TUSD/USDT,0.99950000,0.99970000,0.99950000,0.99960000,12242782.00000000,12237578.73720000,16026
1645833600000,2022-02-26 00:00:00,TUSD/USDT,0.99960000,0.99960000,0.99950000,0.99950000,7509122.00000000,7505700.13630000,9030
1645747200000,2022-02-25 00:00:00,TUSD/USDT,0.99960000,0.99970000,0.99950000,0.99960000,29593948.00000000,29581536.26460000,35451
1645660800000,2022-02-24 00:00:00,TUSD/USDT,0.99950000,0.99980000,0.99950000,0.99960000,32035624.00000000,32022983.33100000,34449
1645574400000,2022-02-23 00:00:00,TUSD/USDT,0.99960000,0.99960000,0.99950000,0.99960000,24595370.00000000,24583624.12390000,21292
1645488000000,2022-02-22 00:00:00,TUSD/USDT,0.99950000,0.99960000,0.99950000,0.99950000,18291191.00000000,18283106.35050000,14031
1645401600000,2022-02-21 00:00:00,TUSD/USDT,0.99960000,0.99960000,0.99950000,0.99950000,15817388.00000000,15809989.26520000,10511
1645315200000,2022-02-20 00:00:00,TUSD/USDT,0.99940000,0.99960000,0.99940000,0.99960000,11785502.00000000,11780127.96960000,2190
1645228800000,2022-02-19 00:00:00,TUSD/USDT,0.99950000,0.99950000,0.99940000,0.99950000,10645087.00000000,10639306.78680000,2313
1645142400000,2022-02-18 00:00:00,TUSD/USDT,0.99940000,0.99950000,0.99940000,0.99950000,10972492.00000000,10966498.15330000,2538
1645056000000,2022-02-17 00:00:00,TUSD/USDT,0.99950000,0.99950000,0.99940000,0.99940000,9448258.00000000,9443041.23920000,3105
1644969600000,2022-02-16 00:00:00,TUSD/USDT,0.99940000,0.99950000,0.99940000,0.99940000,9117781.00000000,9112789.16720000,2347
1644883200000,2022-02-15 00:00:00,TUSD/USDT,0.99950000,0.99950000,0.99940000,0.99940000,11950523.00000000,11943948.94650000,2596
1644796800000,2022-02-14 00:00:00,TUSD/USDT,0.99940000,0.99950000,0.99940000,0.99940000,24055974.00000000,24042787.78030000,2749
1644710400000,2022-02-13 00:00:00,TUSD/USDT,0.99940000,0.99950000,0.99940000,0.99950000,27230954.00000000,27215990.66510000,2477
1644624000000,2022-02-12 00:00:00,TUSD/USDT,0.99940000,0.99950000,0.99930000,0.99950000,28200403.00000000,28183201.78920000,2956
1644537600000,2022-02-11 00:00:00,TUSD/USDT,0.99930000,0.99940000,0.99930000,0.99940000,27111397.00000000,27093781.59500000,2865
1644451200000,2022-02-10 00:00:00,TUSD/USDT,0.99940000,0.99940000,0.99930000,0.99940000,28611956.00000000,28593355.15710000,3603
1644364800000,2022-02-09 00:00:00,TUSD/USDT,0.99940000,0.99950000,0.99930000,0.99930000,35151860.00000000,35129149.57490000,5104
1644278400000,2022-02-08 00:00:00,TUSD/USDT,0.99940000,0.99950000,0.99940000,0.99940000,37597456.00000000,37576517.32140000,7119
1644192000000,2022-02-07 00:00:00,TUSD/USDT,0.99950000,0.99950000,0.99940000,0.99940000,19993459.00000000,19982348.78620000,3858
1644105600000,2022-02-06 00:00:00,TUSD/USDT,0.99950000,0.99950000,0.99940000,0.99940000,11728042.00000000,11721594.84930000,2390
1644019200000,2022-02-05 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99940000,0.99950000,10453815.00000000,10448505.36830000,4678
1643932800000,2022-02-04 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99970000,0.99970000,26641561.00000000,26634552.83080000,15332
1643846400000,2022-02-03 00:00:00,TUSD/USDT,0.99980000,0.99980000,0.99970000,0.99980000,26627045.00000000,26620367.52840000,8022
1643760000000,2022-02-02 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99970000,0.99970000,26552943.00000000,26546273.14010000,8200
1643673600000,2022-02-01 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99970000,0.99980000,26859466.00000000,26852725.92770000,8452
1643587200000,2022-01-31 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99970000,0.99980000,28551516.00000000,28544335.70100000,8815
1643500800000,2022-01-30 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99970000,0.99970000,24727834.00000000,24721613.62690000,7784
1643414400000,2022-01-29 00:00:00,TUSD/USDT,0.99980000,0.99980000,0.99970000,0.99980000,21198029.00000000,21192714.38430000,6694
1643328000000,2022-01-28 00:00:00,TUSD/USDT,0.99960000,0.99980000,0.99950000,0.99970000,39177791.00000000,39163335.84530000,14122
1643241600000,2022-01-27 00:00:00,TUSD/USDT,0.99950000,0.99970000,0.99950000,0.99970000,23302580.00000000,23292566.36100000,8108
1643155200000,2022-01-26 00:00:00,TUSD/USDT,0.99970000,0.99970000,0.99950000,0.99950000,20930598.00000000,20923104.46800000,10356
1643068800000,2022-01-25 00:00:00,TUSD/USDT,0.99960000,0.99970000,0.99960000,0.99960000,22142533.00000000,22134724.41960000,10613
1642982400000,2022-01-24 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99960000,0.99970000,23036914.00000000,23032017.62180000,15349
1642896000000,2022-01-23 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99980000,0.99990000,29870859.00000000,29866419.09610000,14868
1642809600000,2022-01-22 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,0.99980000,28820626.00000000,28816494.28300000,17603
1642723200000,2022-01-21 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,0.99990000,25148406.00000000,25144810.11090000,10432
1642636800000,2022-01-20 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99970000,0.99980000,29995552.00000000,29988277.75190000,9469
1642550400000,2022-01-19 00:00:00,TUSD/USDT,0.99980000,0.99980000,0.99970000,0.99970000,26604144.00000000,26597475.10570000,8677
1642464000000,2022-01-18 00:00:00,TUSD/USDT,0.99980000,0.99980000,0.99970000,0.99970000,24486244.00000000,24480059.76170000,8841
1642377600000,2022-01-17 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99970000,0.99970000,20660246.00000000,20655035.72350000,8607
1642291200000,2022-01-16 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99970000,0.99980000,30224387.00000000,30216826.84910000,8867
1642204800000,2022-01-15 00:00:00,TUSD/USDT,0.99980000,0.99980000,0.99970000,0.99970000,30240627.00000000,30233000.33140000,8927
1642118400000,2022-01-14 00:00:00,TUSD/USDT,0.99960000,0.99980000,0.99960000,0.99970000,25103302.00000000,25094778.49890000,9176
1642032000000,2022-01-13 00:00:00,TUSD/USDT,0.99980000,0.99980000,0.99960000,0.99960000,18227675.00000000,18222294.10210000,9202
1641945600000,2022-01-12 00:00:00,TUSD/USDT,0.99990000,0.99990000,0.99970000,0.99970000,17081075.00000000,17077702.07080000,9963
1641859200000,2022-01-11 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99980000,0.99980000,29082125.00000000,29077659.15560000,17869
1641772800000,2022-01-10 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,0.99990000,28775778.00000000,28773858.03580000,18234
1641686400000,2022-01-09 00:00:00,TUSD/USDT,1.00000000,1.00010000,0.99990000,1.00000000,28317842.00000000,28318432.48580000,17095
1641600000000,2022-01-08 00:00:00,TUSD/USDT,1.00030000,1.00030000,1.00000000,1.00000000,37253699.00000000,37260722.19620000,19831
