unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1647993600000,2022-03-23 00:00:00,NEO/USDT,23.86000000,25.04000000,23.86000000,24.34000000,855004.19000000,20959469.19000000,71927
1647907200000,2022-03-22 00:00:00,NEO/USDT,22.59000000,24.04000000,22.49000000,23.87000000,669885.25000000,15755876.02340000,60491
1647820800000,2022-03-21 00:00:00,NEO/USDT,22.70000000,23.18000000,21.89000000,22.59000000,577757.07000000,12995048.50720000,50992
1647734400000,2022-03-20 00:00:00,NEO/USDT,22.03000000,23.79000000,21.85000000,22.70000000,1082546.32000000,24743038.86780000,92644
1647648000000,2022-03-19 00:00:00,NEO/USDT,21.07000000,22.20000000,21.06000000,22.04000000,290961.17000000,6263494.01890000,28876
1647561600000,2022-03-18 00:00:00,NEO/USDT,20.66000000,21.12000000,20.03000000,21.06000000,245058.05000000,5025354.00170000,20254
1647475200000,2022-03-17 00:00:00,NEO/USDT,20.63000000,21.18000000,20.46000000,20.67000000,325494.57000000,6759816.77010000,27566
1647388800000,2022-03-16 00:00:00,NEO/USDT,19.48000000,20.72000000,19.28000000,20.63000000,465509.76000000,9228128.85140000,37894
1647302400000,2022-03-15 00:00:00,NEO/USDT,19.59000000,19.68000000,18.78000000,19.48000000,275687.51000000,5303005.37380000,24419
1647216000000,2022-03-14 00:00:00,NEO/USDT,19.03000000,19.62000000,18.76000000,19.59000000,286825.89000000,5513496.57380000,24399
1647129600000,2022-03-13 00:00:00,NEO/USDT,20.02000000,20.37000000,18.94000000,19.03000000,287562.32000000,5657565.16630000,21569
1647043200000,2022-03-12 00:00:00,NEO/USDT,20.04000000,20.55000000,19.93000000,20.03000000,208459.44000000,4220768.68570000,17520
1646956800000,2022-03-11 00:00:00,NEO/USDT,20.68000000,21.25000000,19.94000000,20.04000000,519722.01000000,10671611.85110000,41126
1646870400000,2022-03-10 00:00:00,NEO/USDT,21.30000000,21.45000000,19.70000000,20.68000000,566087.47000000,11518452.73980000,50045
1646784000000,2022-03-09 00:00:00,NEO/USDT,20.50000000,21.82000000,20.49000000,21.27000000,451608.39000000,9590232.33900000,41614
1646697600000,2022-03-08 00:00:00,NEO/USDT,20.30000000,20.79000000,20.07000000,20.51000000,316604.51000000,6468493.87790000,27478
1646611200000,2022-03-07 00:00:00,NEO/USDT,20.48000000,21.06000000,19.50000000,20.30000000,398943.20000000,8071487.81390000,33614
1646524800000,2022-03-06 00:00:00,NEO/USDT,21.75000000,21.91000000,20.39000000,20.48000000,279554.53000000,5880571.66480000,26254
1646438400000,2022-03-05 00:00:00,NEO/USDT,21.53000000,21.94000000,20.66000000,21.75000000,277902.09000000,5949944.55670000,25458
1646352000000,2022-03-04 00:00:00,NEO/USDT,23.61000000,23.61000000,21.10000000,21.52000000,486300.90000000,10894258.26430000,43140
1646265600000,2022-03-03 00:00:00,NEO/USDT,23.95000000,25.41000000,22.93000000,23.62000000,858094.60000000,20655998.50860000,79875
1646179200000,2022-03-02 00:00:00,NEO/USDT,24.21000000,24.63000000,23.29000000,23.95000000,654350.47000000,15702448.81840000,64203
1646092800000,2022-03-01 00:00:00,NEO/USDT,23.07000000,25.30000000,23.02000000,24.21000000,1349543.83000000,32640239.38100000,119945
1646006400000,2022-02-28 00:00:00,NEO/USDT,19.90000000,23.17000000,19.53000000,23.07000000,998921.91000000,20986240.90540000,88989
1645920000000,2022-02-27 00:00:00,NEO/USDT,20.99000000,21.18000000,19.43000000,19.90000000,589838.46000000,11989415.76180000,49918
1645833600000,2022-02-26 00:00:00,NEO/USDT,21.52000000,22.17000000,20.60000000,20.98000000,553435.85000000,11723236.83320000,51047
1645747200000,2022-02-25 00:00:00,NEO/USDT,21.31000000,21.74000000,19.84000000,21.52000000,1172481.28000000,24523791.87590000,85863
1645660800000,2022-02-24 00:00:00,NEO/USDT,19.50000000,21.45000000,16.97000000,21.31000000,1808369.28000000,33968759.12190000,124191
1645574400000,2022-02-23 00:00:00,NEO/USDT,20.58000000,21.06000000,19.34000000,19.50000000,824264.10000000,16832028.76720000,54390
1645488000000,2022-02-22 00:00:00,NEO/USDT,20.15000000,20.77000000,19.22000000,20.59000000,1085119.53000000,21797357.20950000,66760
1645401600000,2022-02-21 00:00:00,NEO/USDT,23.07000000,24.17000000,19.93000000,20.15000000,1458860.43000000,32481671.01940000,103785
1645315200000,2022-02-20 00:00:00,NEO/USDT,24.98000000,26.27000000,22.65000000,23.06000000,1249805.50000000,30670211.78350000,93560
1645228800000,2022-02-19 00:00:00,NEO/USDT,26.20000000,27.43000000,24.46000000,24.98000000,1608184.76000000,41713274.64720000,132153
1645142400000,2022-02-18 00:00:00,NEO/USDT,23.66000000,27.21000000,23.39000000,26.19000000,3040666.76000000,78817957.66550000,253205
1645056000000,2022-02-17 00:00:00,NEO/USDT,25.68000000,25.90000000,23.27000000,23.65000000,1067668.08000000,26313528.42840000,95932
1644969600000,2022-02-16 00:00:00,NEO/USDT,22.66000000,26.11000000,22.40000000,25.69000000,1943434.77000000,47535310.47870000,161903
1644883200000,2022-02-15 00:00:00,NEO/USDT,21.30000000,22.80000000,21.26000000,22.66000000,283961.88000000,6320140.04870000,24075
1644796800000,2022-02-14 00:00:00,NEO/USDT,21.75000000,21.81000000,20.67000000,21.29000000,329175.04000000,6967269.51340000,26734
1644710400000,2022-02-13 00:00:00,NEO/USDT,21.52000000,22.22000000,20.89000000,21.74000000,309934.55000000,6692728.95570000,25326
1644624000000,2022-02-12 00:00:00,NEO/USDT,22.21000000,22.36000000,21.10000000,21.52000000,486402.56000000,10571601.83740000,36118
1644537600000,2022-02-11 00:00:00,NEO/USDT,23.79000000,25.67000000,21.75000000,22.21000000,611142.82000000,14598264.99010000,60423
1644451200000,2022-02-10 00:00:00,NEO/USDT,24.02000000,25.50000000,23.50000000,23.78000000,956463.34000000,23673716.43320000,91860
1644364800000,2022-02-09 00:00:00,NEO/USDT,23.02000000,24.10000000,22.43000000,24.02000000,365048.88000000,8538273.73060000,36492
1644278400000,2022-02-08 00:00:00,NEO/USDT,23.73000000,24.11000000,21.84000000,23.02000000,513512.96000000,11749043.81160000,45276
1644192000000,2022-02-07 00:00:00,NEO/USDT,22.55000000,23.86000000,22.15000000,23.74000000,416689.49000000,9709545.35870000,39317
1644105600000,2022-02-06 00:00:00,NEO/USDT,22.10000000,22.62000000,21.52000000,22.55000000,219718.07000000,4863809.97000000,21005
1644019200000,2022-02-05 00:00:00,NEO/USDT,22.40000000,22.98000000,21.78000000,22.10000000,448387.81000000,10066732.58970000,37264
