unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1649808000000,2022-04-13 00:00:00,STX/USDT,1.15500000,1.22900000,1.13800000,1.20500000,2030765.50000000,2419516.65820000,11263
1649721600000,2022-04-12 00:00:00,STX/USDT,1.11800000,1.18500000,1.11800000,1.15400000,2110069.20000000,2424867.55380000,11164
1649635200000,2022-04-11 00:00:00,STX/USDT,1.22400000,1.24400000,1.10700000,1.11600000,2067050.60000000,2394162.24080000,11470
1649548800000,2022-04-10 00:00:00,STX/USDT,1.27800000,1.28600000,1.22300000,1.22500000,1172571.90000000,1475832.87380000,7515
1649462400000,2022-04-09 00:00:00,STX/USDT,1.23700000,1.34300000,1.23300000,1.27700000,2133084.30000000,2746795.87810000,12482
1649376000000,2022-04-08 00:00:00,STX/USDT,1.29900000,1.31200000,1.22000000,1.23800000,1555630.60000000,1971276.85940000,10917
1649289600000,2022-04-07 00:00:00,STX/USDT,1.25600000,1.30800000,1.23100000,1.29900000,1795322.40000000,2290307.93880000,10299
1649203200000,2022-04-06 00:00:00,STX/USDT,1.40400000,1.40400000,1.25400000,1.25800000,3596309.30000000,4752823.10680000,20239
1649116800000,2022-04-05 00:00:00,STX/USDT,1.45700000,1.47700000,1.40100000,1.40300000,1776240.60000000,2561903.47300000,10156
1649030400000,2022-04-04 00:00:00,STX/USDT,1.53100000,1.53800000,1.40200000,1.45600000,2067581.20000000,3024276.33360000,11478
1648944000000,2022-04-03 00:00:00,STX/USDT,1.48800000,1.57500000,1.47200000,1.53000000,3007423.50000000,4571023.51990000,19505
1648857600000,2022-04-02 00:00:00,STX/USDT,1.46100000,1.55400000,1.45600000,1.48800000,4275048.40000000,6400116.75480000,21959
1648771200000,2022-04-01 00:00:00,STX/USDT,1.43800000,1.46700000,1.38300000,1.46100000,2080014.70000000,2966960.85990000,13983
1648684800000,2022-03-31 00:00:00,STX/USDT,1.51500000,1.57300000,1.42500000,1.43900000,3216083.40000000,4807948.70640000,21611
1648598400000,2022-03-30 00:00:00,STX/USDT,1.45000000,1.55900000,1.41100000,1.51500000,4410472.30000000,6581443.63390000,26239
