unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,tradecount
1649289600000,2022-04-07 00:00:00,AVAX/USDT,82.94000000,88.66000000,81.34000000,87.55000000,3392547.98000000,287533326.74250000,463282
1649203200000,2022-04-06 00:00:00,AVAX/USDT,91.07000000,91.11000000,82.63000000,82.94000000,3526547.24000000,306773293.55840000,458964
1649116800000,2022-04-05 00:00:00,AVAX/USDT,96.16000000,97.70000000,90.60000000,91.06000000,2436266.33000000,231181134.81740000,345111
1649030400000,2022-04-04 00:00:00,AVAX/USDT,98.02000000,98.08000000,90.81000000,96.16000000,2600693.06000000,246731044.34010000,299116
1648944000000,2022-04-03 00:00:00,AVAX/USDT,96.25000000,100.09000000,94.41000000,98.05000000,2729825.05000000,266967348.60560000,331240
1648857600000,2022-04-02 00:00:00,AVAX/USDT,96.81000000,103.62000000,95.73000000,96.25000000,3326092.55000000,331193208.95110000,509367
1648771200000,2022-04-01 00:00:00,AVAX/USDT,97.43000000,99.80000000,90.26000000,96.83000000,3360841.07000000,319999605.55860000,486329
1648684800000,2022-03-31 00:00:00,AVAX/USDT,95.57000000,101.98000000,93.68000000,97.41000000,4416636.71000000,432476993.41680000,697779
1648598400000,2022-03-30 00:00:00,AVAX/USDT,92.73000000,100.48000000,89.50000000,95.58000000,3528529.66000000,336542961.09290000,521269
1648512000000,2022-03-29 00:00:00,AVAX/USDT,89.57000000,96.46000000,89.27000000,92.74000000,2945036.40000000,275198995.93140000,408554
1648425600000,2022-03-28 00:00:00,AVAX/USDT,89.88000000,96.23000000,88.58000000,89.58000000,3900950.93000000,360373912.53810000,529962
1648339200000,2022-03-27 00:00:00,AVAX/USDT,85.87000000,89.99000000,84.40000000,89.88000000,1651306.21000000,143186147.46980000,202321
1648252800000,2022-03-26 00:00:00,AVAX/USDT,83.54000000,86.74000000,82.46000000,85.86000000,1350476.61000000,114857398.18330000,148804
1648166400000,2022-03-25 00:00:00,AVAX/USDT,87.57000000,87.80000000,82.25000000,83.54000000,2533187.45000000,216075919.27750000,284452
1648080000000,2022-03-24 00:00:00,AVAX/USDT,85.99000000,88.30000000,83.63000000,87.56000000,2936844.44000000,253138344.22660000,320951
1647993600000,2022-03-23 00:00:00,AVAX/USDT,83.97000000,87.30000000,82.21000000,86.00000000,2633332.52000000,223267532.15250000,295059
1647907200000,2022-03-22 00:00:00,AVAX/USDT,86.24000000,89.89000000,83.70000000,83.98000000,3258174.08000000,283815485.50930000,405427
1647820800000,2022-03-21 00:00:00,AVAX/USDT,84.87000000,92.50000000,83.02000000,86.25000000,4199445.72000000,368983120.25090000,522479
1647734400000,2022-03-20 00:00:00,AVAX/USDT,89.54000000,89.98000000,84.26000000,84.84000000,2817986.41000000,245565144.81200000,322188
1647648000000,2022-03-19 00:00:00,AVAX/USDT,85.72000000,92.39000000,85.58000000,89.53000000,3285297.07000000,292078254.54070000,450713
1647561600000,2022-03-18 00:00:00,AVAX/USDT,79.40000000,86.95000000,76.48000000,85.71000000,3592188.77000000,293299235.77410000,480240
1647475200000,2022-03-17 00:00:00,AVAX/USDT,74.07000000,81.73000000,73.16000000,79.40000000,3601064.66000000,282934334.36080000,439260
1647388800000,2022-03-16 00:00:00,AVAX/USDT,69.82000000,74.72000000,68.07000000,74.08000000,2655390.64000000,189099000.25610000,312483
1647302400000,2022-03-15 00:00:00,AVAX/USDT,68.97000000,72.24000000,66.04000000,69.82000000,2272701.89000000,157179065.55290000,246523
1647216000000,2022-03-14 00:00:00,AVAX/USDT,67.92000000,71.50000000,65.55000000,68.97000000,2929390.22000000,198926453.36510000,295785
1647129600000,2022-03-13 00:00:00,AVAX/USDT,70.93000000,71.99000000,67.21000000,67.94000000,1213188.75000000,85166976.68840000,149309
1647043200000,2022-03-12 00:00:00,AVAX/USDT,71.23000000,73.62000000,70.67000000,70.94000000,1178080.64000000,84879095.24080000,131599
1646956800000,2022-03-11 00:00:00,AVAX/USDT,73.93000000,76.97000000,70.79000000,71.22000000,3182516.66000000,235440597.15210000,345943
1646870400000,2022-03-10 00:00:00,AVAX/USDT,77.60000000,79.00000000,71.50000000,73.93000000,2525169.14000000,186707534.51400000,284446
1646784000000,2022-03-09 00:00:00,AVAX/USDT,73.02000000,80.44000000,72.34000000,77.63000000,3319070.88000000,258132353.53270000,337710
1646697600000,2022-03-08 00:00:00,AVAX/USDT,71.67000000,76.62000000,71.19000000,73.00000000,3043603.22000000,222345040.88600000,304924
1646611200000,2022-03-07 00:00:00,AVAX/USDT,72.51000000,76.53000000,70.35000000,71.69000000,2449823.98000000,178907722.50900000,277245
1646524800000,2022-03-06 00:00:00,AVAX/USDT,76.69000000,77.10000000,72.09000000,72.51000000,1936414.77000000,144793634.14330000,206729
1646438400000,2022-03-05 00:00:00,AVAX/USDT,75.78000000,78.74000000,73.27000000,76.68000000,1992002.84000000,151948773.51780000,263839
1646352000000,2022-03-04 00:00:00,AVAX/USDT,78.50000000,82.24000000,74.92000000,75.79000000,3853710.64000000,302363088.14410000,467766
1646265600000,2022-03-03 00:00:00,AVAX/USDT,83.35000000,84.33000000,77.02000000,78.50000000,2971518.96000000,238658273.67650000,344792
1646179200000,2022-03-02 00:00:00,AVAX/USDT,86.89000000,89.94000000,82.29000000,83.36000000,3048063.73000000,260108758.09450000,398704
1646092800000,2022-03-01 00:00:00,AVAX/USDT,84.54000000,90.80000000,83.48000000,86.89000000,4517499.99000000,393520657.33100000,644503
1646006400000,2022-02-28 00:00:00,AVAX/USDT,75.06000000,85.88000000,71.76000000,84.54000000,3896436.49000000,306286202.72460000,480872
1645920000000,2022-02-27 00:00:00,AVAX/USDT,81.81000000,83.07000000,73.02000000,75.07000000,3334479.25000000,260467180.04540000,476284
1645833600000,2022-02-26 00:00:00,AVAX/USDT,80.98000000,84.95000000,78.02000000,81.81000000,2805070.69000000,228083868.77070000,390264
1645747200000,2022-02-25 00:00:00,AVAX/USDT,76.39000000,81.99000000,72.68000000,80.98000000,3877124.60000000,297496792.41610000,478279
1645660800000,2022-02-24 00:00:00,AVAX/USDT,73.46000000,79.98000000,64.45000000,76.39000000,7820713.29000000,549303006.46410000,823813
1645574400000,2022-02-23 00:00:00,AVAX/USDT,74.42000000,82.50000000,73.28000000,73.47000000,3483406.50000000,271858501.40360000,434724
1645488000000,2022-02-22 00:00:00,AVAX/USDT,70.03000000,74.94000000,67.20000000,74.42000000,3024268.59000000,215588321.27940000,314877
1645401600000,2022-02-21 00:00:00,AVAX/USDT,77.34000000,82.70000000,69.38000000,70.04000000,3597142.77000000,276892269.48020000,444515
1645315200000,2022-02-20 00:00:00,AVAX/USDT,85.01000000,85.73000000,76.56000000,77.37000000,1851608.12000000,147802271.93460000,281004
1645228800000,2022-02-19 00:00:00,AVAX/USDT,83.69000000,86.34000000,80.82000000,85.01000000,1584310.20000000,133206597.12890000,268613
1645142400000,2022-02-18 00:00:00,AVAX/USDT,88.24000000,89.99000000,82.35000000,83.67000000,2364097.49000000,203097006.82690000,373313
1645056000000,2022-02-17 00:00:00,AVAX/USDT,95.33000000,98.77000000,86.32000000,88.24000000,3177570.87000000,292577748.91560000,611534
1644969600000,2022-02-16 00:00:00,AVAX/USDT,92.96000000,97.35000000,91.44000000,95.32000000,2885648.71000000,271746583.12220000,580477
1644883200000,2022-02-15 00:00:00,AVAX/USDT,81.84000000,93.68000000,81.41000000,92.97000000,2301376.54000000,201963674.87560000,385670
1644796800000,2022-02-14 00:00:00,AVAX/USDT,77.93000000,82.60000000,76.14000000,81.86000000,1524047.88000000,121572615.57900000,224407
1644710400000,2022-02-13 00:00:00,AVAX/USDT,81.29000000,83.28000000,77.49000000,77.91000000,1168439.44000000,94204752.13170000,187215
1644624000000,2022-02-12 00:00:00,AVAX/USDT,81.76000000,84.80000000,78.65000000,81.31000000,2173440.39000000,177934028.19320000,312675
1644537600000,2022-02-11 00:00:00,AVAX/USDT,91.18000000,92.66000000,80.00000000,81.75000000,2422691.49000000,211677357.33970000,400391
1644451200000,2022-02-10 00:00:00,AVAX/USDT,90.05000000,95.00000000,84.93000000,91.16000000,2654551.53000000,240120281.41140000,527009
1644364800000,2022-02-09 00:00:00,AVAX/USDT,86.35000000,92.03000000,84.34000000,90.05000000,1774621.17000000,157888513.48790000,337877
1644278400000,2022-02-08 00:00:00,AVAX/USDT,83.23000000,95.50000000,81.65000000,86.34000000,5245827.40000000,460480912.04350000,814942
1644192000000,2022-02-07 00:00:00,AVAX/USDT,78.91000000,85.42000000,77.44000000,83.20000000,1879396.49000000,155038987.17210000,343928
1644105600000,2022-02-06 00:00:00,AVAX/USDT,77.01000000,79.15000000,74.10000000,78.93000000,1113858.87000000,85466391.73680000,178658
1644019200000,2022-02-05 00:00:00,AVAX/USDT,77.80000000,80.93000000,74.94000000,77.01000000,1700729.64000000,132702633.58550000,265512
1643932800000,2022-02-04 00:00:00,AVAX/USDT,68.44000000,77.95000000,67.43000000,77.77000000,2263149.96000000,165117581.12500000,314829
1643846400000,2022-02-03 00:00:00,AVAX/USDT,67.79000000,69.31000000,64.85000000,68.44000000,1792227.65000000,120496574.82300000,207929
1643760000000,2022-02-02 00:00:00,AVAX/USDT,73.32000000,74.86000000,67.43000000,67.79000000,2238866.41000000,159980250.01700000,270539
1643673600000,2022-02-01 00:00:00,AVAX/USDT,69.90000000,73.87000000,68.47000000,73.33000000,1951093.27000000,138231722.04670000,249796
1643587200000,2022-01-31 00:00:00,AVAX/USDT,67.94000000,70.65000000,64.25000000,69.87000000,1747136.27000000,117666155.98480000,204907
1643500800000,2022-01-30 00:00:00,AVAX/USDT,71.91000000,72.39000000,66.85000000,67.96000000,1307594.65000000,91110546.73170000,162101
1643414400000,2022-01-29 00:00:00,AVAX/USDT,67.02000000,73.58000000,66.86000000,71.89000000,1662626.47000000,117157264.50930000,240922
1643328000000,2022-01-28 00:00:00,AVAX/USDT,64.68000000,67.50000000,61.71000000,67.01000000,1790400.08000000,115890537.67020000,245292
1643241600000,2022-01-27 00:00:00,AVAX/USDT,65.87000000,67.96000000,61.06000000,64.70000000,2519156.06000000,161461952.38260000,316293
1643155200000,2022-01-26 00:00:00,AVAX/USDT,68.01000000,73.50000000,64.39000000,65.87000000,3400732.97000000,234514414.36310000,446906
