unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1644710400000,2022-02-13 00:00:00,VET/USDT,0.05755000,0.05851000,0.05512000,0.05628000,433191669.00000000,24661732.58222300,87136
1644624000000,2022-02-12 00:00:00,VET/USDT,0.05792000,0.05920000,0.05560000,0.05757000,614860130.00000000,35203053.02910500,126801
1644537600000,2022-02-11 00:00:00,VET/USDT,0.06281000,0.06458000,0.05662000,0.05791000,744703422.70000000,45835646.37736000,165779
1644451200000,2022-02-10 00:00:00,VET/USDT,0.06700000,0.06848000,0.06246000,0.06283000,856872827.70000000,56150447.62510500,194810
1644364800000,2022-02-09 00:00:00,VET/USDT,0.06430000,0.06820000,0.06300000,0.06701000,589057223.40000000,38712827.65305700,130743
1644278400000,2022-02-08 00:00:00,VET/USDT,0.06776000,0.06944000,0.06206000,0.06430000,1052316562.50000000,68728979.74532900,254134
1644192000000,2022-02-07 00:00:00,VET/USDT,0.06126000,0.06800000,0.05992000,0.06781000,1057985484.60000000,67854383.74942500,302484
1644105600000,2022-02-06 00:00:00,VET/USDT,0.05909000,0.06139000,0.05793000,0.06128000,598533978.80000000,35566305.35285800,112107
1644019200000,2022-02-05 00:00:00,VET/USDT,0.05862000,0.06121000,0.05759000,0.05909000,758927830.70000000,45170996.34293700,166423
1643932800000,2022-02-04 00:00:00,VET/USDT,0.05245000,0.05864000,0.05202000,0.05862000,915645320.70000000,50649092.41026200,171099
1643846400000,2022-02-03 00:00:00,VET/USDT,0.05197000,0.05263000,0.05050000,0.05248000,586199389.00000000,30241255.92922800,90979
1643760000000,2022-02-02 00:00:00,VET/USDT,0.05455000,0.05641000,0.05149000,0.05192000,655835301.00000000,35403565.62004500,113991
1643673600000,2022-02-01 00:00:00,VET/USDT,0.05385000,0.05550000,0.05341000,0.05452000,478230598.50000000,26063779.67525900,88339
1643587200000,2022-01-31 00:00:00,VET/USDT,0.05257000,0.05398000,0.05035000,0.05385000,572059942.10000000,29875673.71326100,90072
1643500800000,2022-01-30 00:00:00,VET/USDT,0.05451000,0.05561000,0.05150000,0.05256000,509682117.80000000,27341588.29829300,85317
1643414400000,2022-01-29 00:00:00,VET/USDT,0.05388000,0.05553000,0.05327000,0.05449000,533858726.50000000,29019264.46605700,89421
1643328000000,2022-01-28 00:00:00,VET/USDT,0.05236000,0.05416000,0.05070000,0.05392000,652784304.60000000,34243977.35899400,113985
1643241600000,2022-01-27 00:00:00,VET/USDT,0.05337000,0.05461000,0.05003000,0.05237000,866205445.50000000,45206421.87332800,134092
1643155200000,2022-01-26 00:00:00,VET/USDT,0.05363000,0.05888000,0.05153000,0.05337000,1352063306.10000000,74570023.04290000,242331
1643068800000,2022-01-25 00:00:00,VET/USDT,0.05138000,0.05430000,0.04954000,0.05363000,930026501.60000000,48596994.08769800,153591
1642982400000,2022-01-24 00:00:00,VET/USDT,0.05315000,0.05315000,0.04385000,0.05142000,2041211328.90000000,97365520.02121900,263929
1642896000000,2022-01-23 00:00:00,VET/USDT,0.05162000,0.05463000,0.05000000,0.05314000,1134085780.00000000,59335676.22277400,175102
