unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1644105600000,2022-02-06 00:00:00,DOT/USDT,21.32000000,21.93000000,20.78000000,21.91000000,4783912.16000000,102159037.65280000,197998
1644019200000,2022-02-05 00:00:00,DOT/USDT,20.49000000,22.29000000,20.30000000,21.33000000,8873091.18000000,190945390.97330000,369642
1643932800000,2022-02-04 00:00:00,DOT/USDT,18.91000000,20.53000000,18.71000000,20.48000000,9084604.77000000,177769349.92170000,275807
1643846400000,2022-02-03 00:00:00,DOT/USDT,18.77000000,18.96000000,17.97000000,18.92000000,6622008.64000000,122238026.59080000,223082
1643760000000,2022-02-02 00:00:00,DOT/USDT,19.57000000,20.58000000,18.53000000,18.76000000,8769960.78000000,172307776.65460000,334194
1643673600000,2022-02-01 00:00:00,DOT/USDT,19.38000000,20.00000000,19.15000000,19.57000000,8041127.34000000,157536671.67360000,270508
1643587200000,2022-01-31 00:00:00,DOT/USDT,18.15000000,19.61000000,17.12000000,19.37000000,8316149.90000000,151700168.25560000,266922
1643500800000,2022-01-30 00:00:00,DOT/USDT,18.75000000,19.00000000,17.80000000,18.15000000,5074979.97000000,93864670.27530000,162024
1643414400000,2022-01-29 00:00:00,DOT/USDT,18.34000000,19.06000000,18.08000000,18.74000000,4892745.70000000,90937096.60650000,164519
1643328000000,2022-01-28 00:00:00,DOT/USDT,18.12000000,18.49000000,17.36000000,18.34000000,7390664.94000000,132944555.83310000,230443
1643241600000,2022-01-27 00:00:00,DOT/USDT,18.08000000,18.42000000,17.14000000,18.12000000,9271719.10000000,164875191.18370000,265141
1643155200000,2022-01-26 00:00:00,DOT/USDT,18.32000000,20.06000000,17.51000000,18.08000000,14459131.31000000,272101060.86270000,441587
1643068800000,2022-01-25 00:00:00,DOT/USDT,18.02000000,19.05000000,17.36000000,18.31000000,9945213.12000000,181544754.50880000,285360
1642982400000,2022-01-24 00:00:00,DOT/USDT,18.81000000,18.82000000,15.83000000,18.02000000,20381626.57300000,345828687.90308000,535040
1642896000000,2022-01-23 00:00:00,DOT/USDT,18.27000000,19.20000000,17.73000000,18.81000000,11483380.21000000,212079989.02780000,338840
1642809600000,2022-01-22 00:00:00,DOT/USDT,19.66000000,20.16000000,16.17000000,18.27000000,23239217.06800000,424011444.45833800,629097
1642723200000,2022-01-21 00:00:00,DOT/USDT,23.01000000,23.48000000,19.04000000,19.67000000,17269209.91200000,371432669.91895000,599228
1642636800000,2022-01-20 00:00:00,DOT/USDT,24.06000000,25.62000000,22.84000000,23.01000000,6578668.82000000,160357989.39780000,278348
1642550400000,2022-01-19 00:00:00,DOT/USDT,25.15000000,25.30000000,23.68000000,24.05000000,6462252.41000000,157244747.27950000,241686
1642464000000,2022-01-18 00:00:00,DOT/USDT,25.69000000,26.07000000,24.24000000,25.15000000,7145666.21000000,178517774.89070000,275151
1642377600000,2022-01-17 00:00:00,DOT/USDT,27.70000000,27.76000000,25.10000000,25.69000000,8233269.46000000,217042645.22860000,326373
1642291200000,2022-01-16 00:00:00,DOT/USDT,27.60000000,28.47000000,27.26000000,27.70000000,7073389.72000000,197261377.66720000,327845
1642204800000,2022-01-15 00:00:00,DOT/USDT,27.75000000,28.41000000,26.83000000,27.60000000,5575781.94000000,153649373.07510000,274699
1642118400000,2022-01-14 00:00:00,DOT/USDT,25.79000000,27.88000000,25.53000000,27.75000000,9449831.90000000,254448275.94570000,421778
1642032000000,2022-01-13 00:00:00,DOT/USDT,27.33000000,27.68000000,25.71000000,25.79000000,7656681.93000000,204220516.39490000,327157
1641945600000,2022-01-12 00:00:00,DOT/USDT,25.56000000,27.58000000,25.45000000,27.32000000,7566219.50000000,201191355.56960000,319932
1641859200000,2022-01-11 00:00:00,DOT/USDT,23.73000000,26.00000000,23.48000000,25.56000000,9473674.68000000,235078342.33510000,309738
1641772800000,2022-01-10 00:00:00,DOT/USDT,24.63000000,25.22000000,22.43000000,23.72000000,11667129.55000000,276522625.56632000,391299
1641686400000,2022-01-09 00:00:00,DOT/USDT,23.98000000,25.32000000,23.67000000,24.63000000,7523995.26000000,184387901.22260000,270529
1641600000000,2022-01-08 00:00:00,DOT/USDT,24.90000000,25.54000000,23.12000000,23.99000000,9965873.23000000,244572660.78600000,377457
1641513600000,2022-01-07 00:00:00,DOT/USDT,26.72000000,26.86000000,24.24000000,24.90000000,14333874.43000000,363043454.68430000,559374
1641427200000,2022-01-06 00:00:00,DOT/USDT,26.73000000,27.36000000,25.50000000,26.72000000,11412775.24000000,299936557.65050000,449221
1641340800000,2022-01-05 00:00:00,DOT/USDT,28.69000000,30.39000000,25.05000000,26.72000000,14135011.01000000,401227022.41030000,653564
