unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1645833600000,2022-02-26 00:00:00,XMR/USDT,153.90000000,159.90000000,151.70000000,157.80000000,62181.08500000,9681033.41590000,33438
1645747200000,2022-02-25 00:00:00,XMR/USDT,147.10000000,156.10000000,145.10000000,153.90000000,87359.78300000,13093001.26070000,38977
1645660800000,2022-02-24 00:00:00,XMR/USDT,148.80000000,152.20000000,132.10000000,147.00000000,135585.41300000,18993523.82590000,64524
1645574400000,2022-02-23 00:00:00,XMR/USDT,150.90000000,156.20000000,147.90000000,148.70000000,56618.40300000,8626195.88670000,27357
1645488000000,2022-02-22 00:00:00,XMR/USDT,147.90000000,151.50000000,140.40000000,150.90000000,92666.05100000,13509004.84110000,46882
1645401600000,2022-02-21 00:00:00,XMR/USDT,153.80000000,162.10000000,147.10000000,147.80000000,107435.56500000,16796428.35540000,47337
1645315200000,2022-02-20 00:00:00,XMR/USDT,161.00000000,161.60000000,151.00000000,153.70000000,62983.40300000,9757238.94880000,29880
1645228800000,2022-02-19 00:00:00,XMR/USDT,160.20000000,165.60000000,158.10000000,161.10000000,75555.45700000,12244976.26010000,35136
1645142400000,2022-02-18 00:00:00,XMR/USDT,163.60000000,167.20000000,158.90000000,160.10000000,75841.72100000,12343390.58980000,39031
1645056000000,2022-02-17 00:00:00,XMR/USDT,179.00000000,181.00000000,163.00000000,163.70000000,72969.55700000,12609926.34590000,39682
1644969600000,2022-02-16 00:00:00,XMR/USDT,182.50000000,183.80000000,177.80000000,179.10000000,53746.81200000,9730057.92700000,31011
1644883200000,2022-02-15 00:00:00,XMR/USDT,176.10000000,183.40000000,174.50000000,182.50000000,88686.00900000,15827732.66960000,39149
1644796800000,2022-02-14 00:00:00,XMR/USDT,173.90000000,177.50000000,167.80000000,176.10000000,52005.53200000,8999504.96350000,27829
1644710400000,2022-02-13 00:00:00,XMR/USDT,173.80000000,175.30000000,170.10000000,173.70000000,44129.19500000,7627096.06360000,22575
1644624000000,2022-02-12 00:00:00,XMR/USDT,169.30000000,175.10000000,164.00000000,173.80000000,61676.54200000,10485153.82180000,33132
1644537600000,2022-02-11 00:00:00,XMR/USDT,179.10000000,181.50000000,165.80000000,169.30000000,72362.44700000,12754233.32730000,38758
1644451200000,2022-02-10 00:00:00,XMR/USDT,186.00000000,187.30000000,176.80000000,179.10000000,79638.92400000,14580181.85220000,45688
1644364800000,2022-02-09 00:00:00,XMR/USDT,178.70000000,186.00000000,175.50000000,186.00000000,71665.38700000,13003522.00100000,33408
1644278400000,2022-02-08 00:00:00,XMR/USDT,184.80000000,188.00000000,174.30000000,178.70000000,98514.81700000,17817669.23190000,50221
1644192000000,2022-02-07 00:00:00,XMR/USDT,173.50000000,185.30000000,170.90000000,184.90000000,107354.90400000,19172601.31120000,50769
1644105600000,2022-02-06 00:00:00,XMR/USDT,168.40000000,174.40000000,166.40000000,173.60000000,56709.73200000,9626819.17390000,27911
1644019200000,2022-02-05 00:00:00,XMR/USDT,165.20000000,170.10000000,161.60000000,168.50000000,81783.65800000,13611938.56230000,42786
1643932800000,2022-02-04 00:00:00,XMR/USDT,146.90000000,166.00000000,146.50000000,165.20000000,132574.31900000,20755186.80120000,59408
1643846400000,2022-02-03 00:00:00,XMR/USDT,144.80000000,147.00000000,140.30000000,146.90000000,68719.04900000,9899805.88710000,31777
1643760000000,2022-02-02 00:00:00,XMR/USDT,146.10000000,150.30000000,143.90000000,144.90000000,84731.17200000,12465860.48350000,43103
1643673600000,2022-02-01 00:00:00,XMR/USDT,147.20000000,148.20000000,143.10000000,146.10000000,81974.21200000,11915221.55560000,39208
1643587200000,2022-01-31 00:00:00,XMR/USDT,147.70000000,148.10000000,140.40000000,147.10000000,87609.09100000,12594585.25320000,36085
1643500800000,2022-01-30 00:00:00,XMR/USDT,153.50000000,155.00000000,145.60000000,147.90000000,72118.86600000,10889420.72270000,32273
1643414400000,2022-01-29 00:00:00,XMR/USDT,149.10000000,155.60000000,148.70000000,153.70000000,59540.43900000,9058419.50590000,27142
1643328000000,2022-01-28 00:00:00,XMR/USDT,144.80000000,149.70000000,140.80000000,149.00000000,70739.18300000,10230876.71770000,37687
1643241600000,2022-01-27 00:00:00,XMR/USDT,148.20000000,149.90000000,139.20000000,144.70000000,111453.96600000,16034097.58510000,53425
1643155200000,2022-01-26 00:00:00,XMR/USDT,144.80000000,158.80000000,142.80000000,148.20000000,145776.63600000,21973677.67710000,66725
1643068800000,2022-01-25 00:00:00,XMR/USDT,146.80000000,147.90000000,139.40000000,144.80000000,187566.55800000,26975629.44700000,88080
1642982400000,2022-01-24 00:00:00,XMR/USDT,156.80000000,156.80000000,134.30000000,146.70000000,159872.14603000,22829826.52302600,68407
1642896000000,2022-01-23 00:00:00,XMR/USDT,151.90000000,158.90000000,148.00000000,157.00000000,104277.47300000,15944221.78940000,50503
1642809600000,2022-01-22 00:00:00,XMR/USDT,172.60000000,175.50000000,140.10000000,152.20000000,197370.32659000,30638512.05955660,95170
1642723200000,2022-01-21 00:00:00,XMR/USDT,188.50000000,192.30000000,167.20000000,173.00000000,144845.65722000,26231346.91098270,82221
1642636800000,2022-01-20 00:00:00,XMR/USDT,201.30000000,210.00000000,187.70000000,188.60000000,70143.96600000,14143876.07780000,47472
1642550400000,2022-01-19 00:00:00,XMR/USDT,204.00000000,213.10000000,199.10000000,201.40000000,96928.78600000,19986508.78020000,58560
1642464000000,2022-01-18 00:00:00,XMR/USDT,214.50000000,222.40000000,199.50000000,204.10000000,97886.26500000,20253327.53680000,58948
1642377600000,2022-01-17 00:00:00,XMR/USDT,224.10000000,230.70000000,209.40000000,214.40000000,137316.69000000,30485957.32540000,80108
1642291200000,2022-01-16 00:00:00,XMR/USDT,217.70000000,228.30000000,213.10000000,224.10000000,64171.98100000,14065584.21090000,58325
1642204800000,2022-01-15 00:00:00,XMR/USDT,229.80000000,231.20000000,217.00000000,217.70000000,72202.65600000,16146827.48310000,50528
1642118400000,2022-01-14 00:00:00,XMR/USDT,223.60000000,238.90000000,217.00000000,229.80000000,160561.27100000,36015302.12630000,98050
1642032000000,2022-01-13 00:00:00,XMR/USDT,199.00000000,230.00000000,198.00000000,223.60000000,247661.83900000,53972119.44170000,155997
1641945600000,2022-01-12 00:00:00,XMR/USDT,192.90000000,201.30000000,192.70000000,199.10000000,70516.19900000,13915889.36950000,41499
