unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,tradecount
1644883200000,2022-02-15 00:00:00,SHIB/USDT,0.00002958,0.00003184,0.00002954,0.00003124,9424765276333.00,291298854.69270317,469065
1644796800000,2022-02-14 00:00:00,SHIB/USDT,0.00003013,0.00003087,0.00002860,0.00002957,9422096053384.00,279954458.70966780,484200
1644710400000,2022-02-13 00:00:00,SHIB/USDT,0.00002914,0.00003222,0.00002836,0.00003013,13173453959060.00,401023965.83854668,692802
1644624000000,2022-02-12 00:00:00,SHIB/USDT,0.00002870,0.00002981,0.00002743,0.00002914,10836083960652.00,311212431.58246023,508462
1644537600000,2022-02-11 00:00:00,SHIB/USDT,0.00003083,0.00003239,0.00002790,0.00002870,13095018731265.00,398041000.20487769,650921
1644451200000,2022-02-10 00:00:00,SHIB/USDT,0.00003295,0.00003372,0.00003052,0.00003083,15245288980540.00,489641917.74377191,801607
1644364800000,2022-02-09 00:00:00,SHIB/USDT,0.00003097,0.00003411,0.00003042,0.00003294,18285704329618.00,593380317.66546863,1061008
1644278400000,2022-02-08 00:00:00,SHIB/USDT,0.00003256,0.00003510,0.00002942,0.00003096,29706414973993.00,953256090.93933084,1731952
1644192000000,2022-02-07 00:00:00,SHIB/USDT,0.00002848,0.00003523,0.00002707,0.00003256,37635970092976.00,1179482497.62104030,2498985
1644105600000,2022-02-06 00:00:00,SHIB/USDT,0.00002249,0.00002900,0.00002223,0.00002849,18128679133898.00,473459037.32861276,1139100
1644019200000,2022-02-05 00:00:00,SHIB/USDT,0.00002219,0.00002388,0.00002203,0.00002250,7828547973896.00,179649712.08895663,387336
1643932800000,2022-02-04 00:00:00,SHIB/USDT,0.00002075,0.00002232,0.00002052,0.00002219,6004843784896.00,128827800.05508198,257748
1643846400000,2022-02-03 00:00:00,SHIB/USDT,0.00002061,0.00002085,0.00002013,0.00002075,3687629060401.00,75704218.16101972,152774
1643760000000,2022-02-02 00:00:00,SHIB/USDT,0.00002168,0.00002189,0.00002028,0.00002061,4563139920675.00,96527302.28801321,221235
1643673600000,2022-02-01 00:00:00,SHIB/USDT,0.00002143,0.00002200,0.00002113,0.00002168,4205647406522.00,91095906.97033475,212982
1643587200000,2022-01-31 00:00:00,SHIB/USDT,0.00002110,0.00002158,0.00002005,0.00002142,4349424740029.00,91018271.35278607,198737
1643500800000,2022-01-30 00:00:00,SHIB/USDT,0.00002167,0.00002220,0.00002083,0.00002110,4188370400634.00,90306995.56622512,198490
1643414400000,2022-01-29 00:00:00,SHIB/USDT,0.00002122,0.00002240,0.00002112,0.00002167,4817295140441.00,104117936.39225376,238222
1643328000000,2022-01-28 00:00:00,SHIB/USDT,0.00002127,0.00002141,0.00002035,0.00002122,4613886313214.00,96575061.90391609,208938
1643241600000,2022-01-27 00:00:00,SHIB/USDT,0.00002110,0.00002181,0.00001994,0.00002128,7878550347411.00,164154890.41919560,311802
1643155200000,2022-01-26 00:00:00,SHIB/USDT,0.00002102,0.00002353,0.00002048,0.00002110,11436666012607.00,250203004.73251803,481339
1643068800000,2022-01-25 00:00:00,SHIB/USDT,0.00002119,0.00002165,0.00002003,0.00002101,10538059274252.00,220505103.27130688,393767
1642982400000,2022-01-24 00:00:00,SHIB/USDT,0.00002246,0.00002329,0.00001865,0.00002120,21158252191330.00,432464613.55461705,718831
1642896000000,2022-01-23 00:00:00,SHIB/USDT,0.00002053,0.00002370,0.00002044,0.00002246,18365277383606.00,408667933.84700392,680131
1642809600000,2022-01-22 00:00:00,SHIB/USDT,0.00002224,0.00002252,0.00001704,0.00002053,26005741167735.00,513169012.01526318,873444
1642723200000,2022-01-21 00:00:00,SHIB/USDT,0.00002644,0.00002684,0.00002158,0.00002224,13138218492658.00,320879809.72697271,588438
1642636800000,2022-01-20 00:00:00,SHIB/USDT,0.00002727,0.00002881,0.00002624,0.00002644,4803835576316.00,133199765.61928034,268026
1642550400000,2022-01-19 00:00:00,SHIB/USDT,0.00002806,0.00002827,0.00002708,0.00002726,4069566726663.00,112729651.81082134,214077
1642464000000,2022-01-18 00:00:00,SHIB/USDT,0.00002882,0.00002955,0.00002743,0.00002806,5749404920409.00,161979908.94769022,275212
1642377600000,2022-01-17 00:00:00,SHIB/USDT,0.00003049,0.00003058,0.00002825,0.00002882,4753892667789.00,138716058.65446787,279550
1642291200000,2022-01-16 00:00:00,SHIB/USDT,0.00003083,0.00003102,0.00003008,0.00003049,3710941080855.00,113179157.29932834,216095
1642204800000,2022-01-15 00:00:00,SHIB/USDT,0.00003078,0.00003151,0.00003052,0.00003083,4187869362247.00,129951460.55713851,235846
1642118400000,2022-01-14 00:00:00,SHIB/USDT,0.00002965,0.00003260,0.00002925,0.00003078,9899541935215.00,308127961.30378165,521020
1642032000000,2022-01-13 00:00:00,SHIB/USDT,0.00003146,0.00003290,0.00002921,0.00002966,10672591654830.00,331285331.87370717,561926
1641945600000,2022-01-12 00:00:00,SHIB/USDT,0.00002762,0.00003269,0.00002754,0.00003145,10396862396461.00,319093429.56711954,660352
1641859200000,2022-01-11 00:00:00,SHIB/USDT,0.00002669,0.00002829,0.00002631,0.00002763,6267275795414.00,171060064.36661974,323813
1641772800000,2022-01-10 00:00:00,SHIB/USDT,0.00002826,0.00002873,0.00002537,0.00002669,7350541798203.00,198173319.91671815,358646
1641686400000,2022-01-09 00:00:00,SHIB/USDT,0.00002772,0.00002911,0.00002749,0.00002825,4330381452616.00,122885676.72809570,247854
1641600000000,2022-01-08 00:00:00,SHIB/USDT,0.00002901,0.00002993,0.00002641,0.00002772,6977091134719.00,196571076.41143113,399373
