unix,date,symbol,open,high,low,close,Volume ZIL,Volume USDT,tradecount
1643673600000,2022-02-01 00:00:00,ZIL/USDT,0.04488000,0.04666000,0.04470000,0.04552000,137696393.90000000,6288541.41027100,29133
1643587200000,2022-01-31 00:00:00,ZIL/USDT,0.04447000,0.04510000,0.04232000,0.04487000,114580547.70000000,5012148.39555600,23170
1643500800000,2022-01-30 00:00:00,ZIL/USDT,0.04571000,0.04668000,0.04370000,0.04451000,100328692.50000000,4541539.62343700,22251
1643414400000,2022-01-29 00:00:00,ZIL/USDT,0.04527000,0.04637000,0.04474000,0.04569000,106728543.80000000,4863029.02373700,23973
1643328000000,2022-01-28 00:00:00,ZIL/USDT,0.04406000,0.04556000,0.04290000,0.04529000,156929320.90000000,6938872.56755200,30222
1643241600000,2022-01-27 00:00:00,ZIL/USDT,0.04484000,0.04543000,0.04217000,0.04411000,197639757.70000000,8674202.43940900,39122
1643155200000,2022-01-26 00:00:00,ZIL/USDT,0.04493000,0.04847000,0.04355000,0.04482000,290965775.20000000,13429127.42644700,62610
1643068800000,2022-01-25 00:00:00,ZIL/USDT,0.04229000,0.04656000,0.04118000,0.04491000,326788062.60000000,14521790.48286400,65481
1642982400000,2022-01-24 00:00:00,ZIL/USDT,0.04430000,0.04499000,0.03758000,0.04229000,337706310.70000000,13463368.32692000,60484
1642896000000,2022-01-23 00:00:00,ZIL/USDT,0.04286000,0.04511000,0.04215000,0.04436000,215531476.40000000,9419610.85796300,46000
1642809600000,2022-01-22 00:00:00,ZIL/USDT,0.04840000,0.04979000,0.03947000,0.04279000,441107944.60000000,19506977.55827500,84860
1642723200000,2022-01-21 00:00:00,ZIL/USDT,0.05696000,0.05798000,0.04698000,0.04846000,289077507.20000000,15247439.34503200,60998
1642636800000,2022-01-20 00:00:00,ZIL/USDT,0.05911000,0.06280000,0.05668000,0.05697000,241037764.50000000,14417697.85405600,49898
1642550400000,2022-01-19 00:00:00,ZIL/USDT,0.06110000,0.06132000,0.05786000,0.05911000,144912544.10000000,8627145.23941200,34267
1642464000000,2022-01-18 00:00:00,ZIL/USDT,0.06190000,0.06253000,0.05976000,0.06111000,111326772.00000000,6793703.21005300,29468
1642377600000,2022-01-17 00:00:00,ZIL/USDT,0.06475000,0.06496000,0.06069000,0.06193000,146973964.80000000,9203438.12153800,37528
1642291200000,2022-01-16 00:00:00,ZIL/USDT,0.06536000,0.06661000,0.06359000,0.06477000,126282365.30000000,8232261.64226500,36039
1642204800000,2022-01-15 00:00:00,ZIL/USDT,0.06411000,0.06667000,0.06345000,0.06537000,116599569.90000000,7589812.07281300,36174
1642118400000,2022-01-14 00:00:00,ZIL/USDT,0.06366000,0.06550000,0.06200000,0.06411000,137764704.40000000,8842492.17654000,42980
1642032000000,2022-01-13 00:00:00,ZIL/USDT,0.06532000,0.06910000,0.06342000,0.06371000,230651898.80000000,15262113.44955500,60757
1641945600000,2022-01-12 00:00:00,ZIL/USDT,0.06085000,0.06663000,0.06054000,0.06534000,180572127.40000000,11526077.09580000,45082
1641859200000,2022-01-11 00:00:00,ZIL/USDT,0.05891000,0.06137000,0.05828000,0.06085000,133874869.60000000,8019169.12443200,35310
1641772800000,2022-01-10 00:00:00,ZIL/USDT,0.06200000,0.06301000,0.05610000,0.05892000,192571455.90000000,11405045.86147900,47071
1641686400000,2022-01-09 00:00:00,ZIL/USDT,0.06072000,0.06331000,0.06017000,0.06200000,128272294.70000000,7912134.17961300,33393
