unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1647475200000,2022-03-17 00:00:00,XLM/USDT,0.18930000,0.19150000,0.18500000,0.18960000,52169133.00000000,9831558.36690000,33270
1647388800000,2022-03-16 00:00:00,XLM/USDT,0.18260000,0.18970000,0.18050000,0.18930000,81666304.00000000,15046110.24230000,46134
1647302400000,2022-03-15 00:00:00,XLM/USDT,0.18000000,0.18380000,0.17570000,0.18270000,57599775.00000000,10357581.41390000,34386
1647216000000,2022-03-14 00:00:00,XLM/USDT,0.17630000,0.18100000,0.17330000,0.18000000,65289255.00000000,11599037.52270000,33064
1647129600000,2022-03-13 00:00:00,XLM/USDT,0.18500000,0.18910000,0.17560000,0.17630000,73926119.00000000,13614043.77950000,40873
1647043200000,2022-03-12 00:00:00,XLM/USDT,0.18350000,0.19030000,0.18210000,0.18500000,81819772.00000000,15171017.02930000,48690
1646956800000,2022-03-11 00:00:00,XLM/USDT,0.17870000,0.18560000,0.17260000,0.18350000,124812246.00000000,22210068.69300000,66814
1646870400000,2022-03-10 00:00:00,XLM/USDT,0.18870000,0.19170000,0.17280000,0.17860000,98019914.00000000,17703861.94010000,58726
1646784000000,2022-03-09 00:00:00,XLM/USDT,0.17320000,0.19030000,0.17220000,0.18870000,111162822.00000000,20330547.12240000,61612
1646697600000,2022-03-08 00:00:00,XLM/USDT,0.16960000,0.17420000,0.16800000,0.17320000,80993513.00000000,13866494.15970000,37355
1646611200000,2022-03-07 00:00:00,XLM/USDT,0.17290000,0.17860000,0.16650000,0.16970000,83252679.00000000,14338173.75890000,43680
1646524800000,2022-03-06 00:00:00,XLM/USDT,0.18030000,0.18150000,0.17200000,0.17280000,51582227.00000000,9107567.81520000,29036
1646438400000,2022-03-05 00:00:00,XLM/USDT,0.17590000,0.18070000,0.17140000,0.18030000,67612333.00000000,11937104.77160000,35332
1646352000000,2022-03-04 00:00:00,XLM/USDT,0.18790000,0.18880000,0.17350000,0.17600000,89286304.00000000,16183745.03370000,48240
1646265600000,2022-03-03 00:00:00,XLM/USDT,0.19340000,0.19520000,0.18460000,0.18790000,70293950.00000000,13346330.37840000,40125
1646179200000,2022-03-02 00:00:00,XLM/USDT,0.19880000,0.19940000,0.19120000,0.19340000,76076448.00000000,14828995.50470000,47811
1646092800000,2022-03-01 00:00:00,XLM/USDT,0.19750000,0.20290000,0.19270000,0.19890000,113366527.00000000,22434317.40470000,72358
1646006400000,2022-02-28 00:00:00,XLM/USDT,0.18090000,0.19820000,0.17720000,0.19750000,104170573.00000000,19394898.26190000,58229
1645920000000,2022-02-27 00:00:00,XLM/USDT,0.19280000,0.19420000,0.17840000,0.18100000,74337602.00000000,13868149.31720000,41053
1645833600000,2022-02-26 00:00:00,XLM/USDT,0.19090000,0.20360000,0.18950000,0.19280000,85657670.00000000,16663087.45440000,49596
1645747200000,2022-02-25 00:00:00,XLM/USDT,0.18220000,0.19220000,0.17790000,0.19090000,88064187.00000000,16261087.54620000,51275
1645660800000,2022-02-24 00:00:00,XLM/USDT,0.18170000,0.18630000,0.16170000,0.18240000,236153044.80000000,40365592.81665400,113732
1645574400000,2022-02-23 00:00:00,XLM/USDT,0.18560000,0.19390000,0.18130000,0.18180000,76836852.00000000,14451158.57240000,37333
1645488000000,2022-02-22 00:00:00,XLM/USDT,0.17800000,0.18690000,0.17240000,0.18570000,94983281.00000000,17119166.30080000,46999
1645401600000,2022-02-21 00:00:00,XLM/USDT,0.19460000,0.20090000,0.17620000,0.17800000,136644089.00000000,26167701.01600000,65389
1645315200000,2022-02-20 00:00:00,XLM/USDT,0.20410000,0.20600000,0.19290000,0.19450000,91286786.00000000,18082588.33360000,46841
1645228800000,2022-02-19 00:00:00,XLM/USDT,0.20050000,0.21120000,0.19650000,0.20410000,99970620.00000000,20415223.45340000,49336
1645142400000,2022-02-18 00:00:00,XLM/USDT,0.20220000,0.20880000,0.19530000,0.20060000,81972995.00000000,16536369.46550000,40124
1645056000000,2022-02-17 00:00:00,XLM/USDT,0.21870000,0.22630000,0.20070000,0.20220000,101877225.00000000,21849497.21390000,58566
1644969600000,2022-02-16 00:00:00,XLM/USDT,0.22090000,0.22160000,0.21340000,0.21870000,65459062.00000000,14262312.77820000,42039
1644883200000,2022-02-15 00:00:00,XLM/USDT,0.21060000,0.22220000,0.20930000,0.22100000,62763659.00000000,13613014.44650000,40046
1644796800000,2022-02-14 00:00:00,XLM/USDT,0.21040000,0.21390000,0.20540000,0.21070000,52295572.00000000,10963776.48270000,34811
1644710400000,2022-02-13 00:00:00,XLM/USDT,0.21820000,0.22190000,0.21030000,0.21040000,46530243.00000000,10079537.94920000,29701
1644624000000,2022-02-12 00:00:00,XLM/USDT,0.21540000,0.22450000,0.21110000,0.21810000,60987718.00000000,13267105.45330000,40445
1644537600000,2022-02-11 00:00:00,XLM/USDT,0.23140000,0.23140000,0.21270000,0.21540000,72042663.00000000,16253227.51260000,50451
1644451200000,2022-02-10 00:00:00,XLM/USDT,0.23850000,0.24270000,0.22830000,0.23140000,95740428.00000000,22582015.40210000,66624
1644364800000,2022-02-09 00:00:00,XLM/USDT,0.24210000,0.24390000,0.23410000,0.23870000,87636981.00000000,21016355.67910000,57717
1644278400000,2022-02-08 00:00:00,XLM/USDT,0.23950000,0.25710000,0.23260000,0.24200000,178069104.00000000,43355794.02150000,124975
1644192000000,2022-02-07 00:00:00,XLM/USDT,0.22380000,0.24190000,0.21880000,0.23930000,125830749.00000000,29367091.95110000,100940
1644105600000,2022-02-06 00:00:00,XLM/USDT,0.21300000,0.22500000,0.21260000,0.22380000,57795744.00000000,12665720.95320000,51592
1644019200000,2022-02-05 00:00:00,XLM/USDT,0.20910000,0.21650000,0.20790000,0.21310000,60849324.00000000,12942197.40750000,51239
1643932800000,2022-02-04 00:00:00,XLM/USDT,0.19510000,0.21000000,0.19350000,0.20900000,78956238.00000000,15877164.31180000,55100
1643846400000,2022-02-03 00:00:00,XLM/USDT,0.19300000,0.19540000,0.18850000,0.19510000,53558995.00000000,10284414.67650000,38608
1643760000000,2022-02-02 00:00:00,XLM/USDT,0.20180000,0.20600000,0.19000000,0.19300000,65385174.00000000,13004094.04090000,51520
1643673600000,2022-02-01 00:00:00,XLM/USDT,0.19950000,0.20620000,0.19880000,0.20190000,62772000.00000000,12740211.40050000,48599
1643587200000,2022-01-31 00:00:00,XLM/USDT,0.19510000,0.20080000,0.18950000,0.19960000,67016926.00000000,13094686.44540000,43777
1643500800000,2022-01-30 00:00:00,XLM/USDT,0.20330000,0.20660000,0.19260000,0.19520000,50703540.00000000,10128357.45150000,37306
1643414400000,2022-01-29 00:00:00,XLM/USDT,0.19860000,0.20450000,0.19750000,0.20320000,52869748.00000000,10636547.67670000,38495
1643328000000,2022-01-28 00:00:00,XLM/USDT,0.19390000,0.19950000,0.18880000,0.19860000,67921360.00000000,13211941.30510000,50490
1643241600000,2022-01-27 00:00:00,XLM/USDT,0.19660000,0.20120000,0.18710000,0.19410000,99009541.00000000,19188061.07790000,62021
