unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1643328000000,2022-01-28 00:00:00,EOS/USDT,2.22300000,2.32300000,2.18100000,2.30900000,11507792.70000000,25747499.13070000,76548
1643241600000,2022-01-27 00:00:00,EOS/USDT,2.21300000,2.24700000,2.12600000,2.22400000,13787137.50000000,30140718.99120000,83603
1643155200000,2022-01-26 00:00:00,EOS/USDT,2.22400000,2.38200000,2.18300000,2.21300000,19849058.00000000,45003773.87910000,122815
1643068800000,2022-01-25 00:00:00,EOS/USDT,2.19900000,2.23600000,2.15800000,2.22300000,15239076.50000000,33424278.60650000,79197
1642982400000,2022-01-24 00:00:00,EOS/USDT,2.27200000,2.27500000,1.99000000,2.19900000,35756143.75000000,75245841.13550900,171643
1642896000000,2022-01-23 00:00:00,EOS/USDT,2.22200000,2.29100000,2.16000000,2.27300000,20935295.90000000,46725128.34580000,106270
1642809600000,2022-01-22 00:00:00,EOS/USDT,2.36900000,2.43200000,2.01100000,2.22200000,50668604.82000000,112351814.79957700,237105
1642723200000,2022-01-21 00:00:00,EOS/USDT,2.63400000,2.66700000,2.30100000,2.37000000,31206286.80000000,78000262.85925500,205395
1642636800000,2022-01-20 00:00:00,EOS/USDT,2.73900000,2.85700000,2.61800000,2.63600000,11037439.80000000,30424901.99760000,83532
1642550400000,2022-01-19 00:00:00,EOS/USDT,2.82400000,2.87400000,2.70400000,2.73900000,10156560.80000000,28211024.39510000,74865
1642464000000,2022-01-18 00:00:00,EOS/USDT,2.83200000,2.93500000,2.74500000,2.82500000,12226241.80000000,34567406.80560000,102113
1642377600000,2022-01-17 00:00:00,EOS/USDT,2.90400000,2.90800000,2.78000000,2.83300000,9321498.80000000,26557097.70710000,63010
1642291200000,2022-01-16 00:00:00,EOS/USDT,2.91000000,2.94900000,2.86600000,2.90300000,6193511.70000000,18021780.17560000,49477
1642204800000,2022-01-15 00:00:00,EOS/USDT,2.86200000,2.95500000,2.84600000,2.90900000,8330676.50000000,24147302.05980000,68136
1642118400000,2022-01-14 00:00:00,EOS/USDT,2.79000000,2.93000000,2.77100000,2.86300000,11326021.40000000,32296776.50050000,89881
1642032000000,2022-01-13 00:00:00,EOS/USDT,2.88500000,2.90400000,2.78300000,2.78900000,7844957.50000000,22370890.56660000,66750
1641945600000,2022-01-12 00:00:00,EOS/USDT,2.77000000,2.91100000,2.76300000,2.88600000,9900659.10000000,28068908.84900000,72140
1641859200000,2022-01-11 00:00:00,EOS/USDT,2.70100000,2.80200000,2.68900000,2.76900000,10212226.80000000,27999840.06160000,68998
1641772800000,2022-01-10 00:00:00,EOS/USDT,2.79300000,2.82700000,2.57600000,2.70200000,18301661.50000000,49247261.18690000,122131
1641686400000,2022-01-09 00:00:00,EOS/USDT,2.75200000,2.84200000,2.73800000,2.79300000,9440151.90000000,26373057.83770000,73976
1641600000000,2022-01-08 00:00:00,EOS/USDT,2.84000000,2.89900000,2.66300000,2.75100000,15320263.70000000,42802126.34790000,108710
1641513600000,2022-01-07 00:00:00,EOS/USDT,2.92200000,2.93000000,2.70300000,2.83900000,26503195.70000000,74847089.77460000,195769
1641427200000,2022-01-06 00:00:00,EOS/USDT,2.89700000,2.93800000,2.81000000,2.92200000,15402272.00000000,44270035.79480000,118371
1641340800000,2022-01-05 00:00:00,EOS/USDT,3.16800000,3.23300000,2.77700000,2.89600000,21709759.60000000,66316526.13560000,189063
