unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1643846400000,2022-02-03 00:00:00,BAT/USDT,0.80970000,0.83330000,0.79110000,0.82670000,11995528.00000000,9706098.18140000,31090
1643760000000,2022-02-02 00:00:00,BAT/USDT,0.84380000,0.86300000,0.80320000,0.80910000,13325252.00000000,11103048.57120000,43053
1643673600000,2022-02-01 00:00:00,BAT/USDT,0.85240000,0.85960000,0.83300000,0.84400000,8017110.00000000,6777448.55520000,27739
1643587200000,2022-01-31 00:00:00,BAT/USDT,0.83380000,0.85440000,0.79560000,0.85280000,11752535.00000000,9732135.09420000,33715
1643500800000,2022-01-30 00:00:00,BAT/USDT,0.85170000,0.86540000,0.81210000,0.83420000,12093564.00000000,10183252.56750000,36747
1643414400000,2022-01-29 00:00:00,BAT/USDT,0.86330000,0.89530000,0.83510000,0.85210000,15319360.00000000,13209785.63950000,46845
1643328000000,2022-01-28 00:00:00,BAT/USDT,0.83540000,0.87850000,0.81560000,0.86350000,18616562.00000000,15865502.39950000,53718
1643241600000,2022-01-27 00:00:00,BAT/USDT,0.80920000,0.85460000,0.76840000,0.83570000,21179152.00000000,17281893.68630000,58690
1643155200000,2022-01-26 00:00:00,BAT/USDT,0.79480000,0.88000000,0.78070000,0.80890000,27488612.00000000,22660934.64800000,86908
1643068800000,2022-01-25 00:00:00,BAT/USDT,0.74960000,0.79560000,0.73000000,0.79420000,17708133.00000000,13417770.77740000,53113
1642982400000,2022-01-24 00:00:00,BAT/USDT,0.75970000,0.77960000,0.65220000,0.74990000,26924506.00000000,18896270.19580000,68497
1642896000000,2022-01-23 00:00:00,BAT/USDT,0.71750000,0.76090000,0.70670000,0.76070000,20035729.00000000,14716221.54670000,54147
1642809600000,2022-01-22 00:00:00,BAT/USDT,0.80850000,0.83000000,0.66920000,0.71760000,35048444.00000000,25823882.30720000,90624
1642723200000,2022-01-21 00:00:00,BAT/USDT,0.90840000,0.92850000,0.78000000,0.80900000,24190587.00000000,20809120.28640000,68359
1642636800000,2022-01-20 00:00:00,BAT/USDT,0.95520000,1.00790000,0.90490000,0.90860000,10224685.00000000,9886681.65560000,35500
1642550400000,2022-01-19 00:00:00,BAT/USDT,1.00350000,1.00680000,0.94700000,0.95460000,8681298.00000000,8457809.05170000,29586
